passedemissions,mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,carname
FALSE,14,8,351,153,2.0645,13,72,ford galaxie 500
FALSE,17,8,304,150,1.836,11.5,72,amc ambassador sst
FALSE,11,8,429,208,2.3165,11,72,mercury marquis
FALSE,13,8,350,155,2.251,13.5,72,buick lesabre custom
FALSE,12,8,350,160,2.228,13.5,72,oldsmobile delta 88 royale
FALSE,13,8,400,190,2.211,12.5,72,chrysler newport royal
TRUE,19,3,70,97,1.165,13.5,72,mazda rx2 coupe
FALSE,15,8,304,150,1.946,12.5,72,amc matador (sw)
FALSE,13,8,307,130,2.049,14,72,chevrolet chevelle concours (sw)
FALSE,13,8,302,140,2.147,16,72,ford gran torino (sw)
FALSE,14,8,318,150,2.0385,14,72,plymouth satellite custom (sw)
FALSE,18,4,121,112,1.4665,14.5,72,volvo 145e (sw)
TRUE,22,4,121,76,1.2555,18,72,volkswagen 411 (sw)
TRUE,21,4,120,87,1.4895,19.5,72,peugeot 504 (sw)
TRUE,26,4,96,69,1.0945,18,72,renault 12 (sw)
TRUE,22,4,122,86,1.1975,16,72,ford pinto (sw)
TRUE,28,4,97,92,1.144,17,72,datsun 510 (sw)
TRUE,23,4,120,97,1.253,14.5,72,toyouta corona mark ii (sw)
TRUE,28,4,98,80,1.082,15,72,dodge colt (sw)
TRUE,27,4,97,88,1.05,16.5,72,toyota corolla 1600 (sw)
FALSE,13,8,350,175,2.05,13,73,buick century 350
FALSE,14,8,304,150,1.836,11.5,73,amc matador
FALSE,13,8,350,145,1.994,13,73,chevrolet malibu
FALSE,14,8,302,137,2.021,14.5,73,ford gran torino
FALSE,15,8,318,150,1.8885,12.5,73,dodge coronet custom
FALSE,12,8,429,198,2.476,11.5,73,mercury marquis brougham
FALSE,13,8,400,150,2.232,12,73,chevrolet caprice classic
FALSE,13,8,351,158,2.1815,13,73,ford ltd
FALSE,14,8,318,150,2.1185,14.5,73,plymouth fury gran sedan
FALSE,13,8,440,215,2.3675,11,73,chrysler new yorker brougham
FALSE,12,8,455,225,2.4755,11,73,buick electra 225 custom
FALSE,13,8,360,175,1.9105,11,73,amc ambassador brougham
FALSE,18,6,225,105,1.5605,16.5,73,plymouth valiant
FALSE,16,6,250,100,1.639,18,73,chevrolet nova custom
FALSE,18,6,232,100,1.4725,16,73,amc hornet
FALSE,18,6,250,88,1.5105,16.5,73,ford maverick
TRUE,23,6,198,95,1.452,16,73,plymouth duster
TRUE,26,4,97,46,0.975,21,73,volkswagen super beetle
FALSE,11,8,400,150,2.4985,14,73,chevrolet impala
FALSE,12,8,400,167,2.453,12.5,73,ford country
FALSE,13,8,360,170,2.327,13,73,plymouth custom suburb
FALSE,12,8,350,180,2.2495,12.5,73,oldsmobile vista cruiser
FALSE,18,6,232,100,1.3945,15,73,amc gremlin
TRUE,20,4,97,88,1.1395,19,73,toyota carina
TRUE,21,4,140,72,1.2005,19.5,73,chevrolet vega
TRUE,22,4,108,94,1.1895,16.5,73,datsun 610
FALSE,18,3,70,90,1.062,13.5,73,maxda rx3
TRUE,19,4,122,85,1.155,18.5,73,ford pinto
TRUE,21,6,155,107,1.236,14,73,mercury capri v6
TRUE,26,4,98,90,1.1325,15.5,73,fiat 124 sport coupe
FALSE,15,8,350,145,2.041,13,73,chevrolet monte carlo s
FALSE,16,8,400,230,2.139,9.5,73,pontiac grand prix
TRUE,29,4,68,49,0.9335,19.5,73,fiat 128
TRUE,24,4,116,75,1.079,15.5,73,opel manta
TRUE,20,4,114,91,1.291,14,73,audi 100ls
TRUE,19,4,121,112,1.434,15.5,73,volvo 144ea
FALSE,15,8,318,150,1.6995,11,73,dodge dart custom
TRUE,24,4,121,110,1.33,14,73,saab 99le
TRUE,20,6,156,122,1.4035,13.5,73,toyota mark ii
FALSE,11,8,350,180,1.832,11,73,oldsmobile omega
TRUE,20,6,198,95,1.551,16.5,74,plymouth duster
TRUE,19,6,232,100,1.4505,16,74,amc hornet
FALSE,15,6,250,100,1.668,17,74,chevrolet nova
TRUE,31,4,79,67,0.975,19,74,datsun b210
TRUE,26,4,122,80,1.2255,16.5,74,ford pinto
TRUE,32,4,71,65,0.918,21,74,toyota corolla 1200
TRUE,25,4,140,75,1.271,17,74,chevrolet vega
FALSE,16,6,250,100,1.8905,17,74,chevrolet chevelle malibu classic
FALSE,16,6,258,110,1.816,18,74,amc matador
FALSE,18,6,225,105,1.8065,16.5,74,plymouth satellite sebring
FALSE,16,8,302,140,2.0705,14,74,ford gran torino
FALSE,13,8,350,150,2.3495,14.5,74,buick century luxus (sw)
FALSE,14,8,318,150,2.2285,13.5,74,dodge coronet custom (sw)
FALSE,14,8,302,140,2.319,16,74,ford gran torino (sw)
FALSE,14,8,304,150,2.1285,15.5,74,amc matador (sw)
TRUE,29,4,98,83,1.1095,16.5,74,audi fox
TRUE,26,4,79,67,0.9815,15.5,74,volkswagen dasher
TRUE,26,4,97,78,1.15,14.5,74,opel manta
TRUE,31,4,76,52,0.8245,16.5,74,toyota corona
TRUE,32,4,83,61,1.0015,19,74,datsun 710
TRUE,28,4,90,75,1.0625,14.5,74,dodge colt
TRUE,24,4,90,75,1.054,15.5,74,fiat 128
TRUE,26,4,116,75,1.123,14,74,fiat 124 tc
TRUE,24,4,120,97,1.2445,15,74,honda civic
TRUE,26,4,108,93,1.1955,15.5,74,subaru
TRUE,31,4,79,67,1,16,74,fiat x1.9
TRUE,19,6,225,95,1.632,16,75,plymouth valiant custom
FALSE,18,6,250,105,1.7295,16,75,chevrolet nova
FALSE,15,6,250,72,1.716,21,75,mercury monarch
FALSE,15,6,250,72,1.579,19.5,75,ford maverick
FALSE,16,8,400,170,2.334,11.5,75,pontiac catalina
FALSE,15,8,350,145,2.22,14,75,chevrolet bel air
FALSE,16,8,318,150,2.249,14.5,75,plymouth grand fury
FALSE,14,8,351,148,2.3285,13.5,75,ford ltd
FALSE,17,6,231,110,1.9535,21,75,buick century
FALSE,16,6,250,105,1.9485,18.5,75,chevroelt chevelle malibu
FALSE,15,6,258,110,1.865,19,75,amc matador
FALSE,18,6,225,95,1.8925,19,75,plymouth fury
TRUE,21,6,231,110,1.5195,15,75,buick skyhawk
TRUE,20,8,262,110,1.6105,13.5,75,chevrolet monza 2+2
FALSE,13,8,302,129,1.5845,12,75,ford mustang ii
TRUE,29,4,97,75,1.0855,16,75,toyota corolla
TRUE,23,4,140,83,1.3195,17,75,ford pinto
TRUE,20,6,232,100,1.457,16,75,amc gremlin
TRUE,23,4,140,78,1.296,18.5,75,pontiac astro
TRUE,24,4,134,96,1.351,13.5,75,toyota corona
TRUE,25,4,90,71,1.1115,16.5,75,volkswagen dasher
TRUE,24,4,119,97,1.2725,17,75,datsun 710
FALSE,18,6,171,97,1.492,14.5,75,ford pinto
TRUE,29,4,90,70,0.9685,14,75,volkswagen rabbit
TRUE,19,6,232,90,1.6055,17,75,amc pacer
TRUE,23,4,115,95,1.347,15,75,audi 100ls
TRUE,23,4,120,88,1.4785,17,75,peugeot 504
TRUE,22,4,121,98,1.4725,14.5,75,volvo 244dl
TRUE,25,4,121,115,1.3355,13.5,75,saab 99le
TRUE,33,4,91,53,0.8975,17.5,75,honda civic cvcc
TRUE,28,4,107,86,1.232,15.5,76,fiat 131
TRUE,25,4,116,81,1.11,16.9,76,opel 1900
TRUE,25,4,140,92,1.286,14.9,76,capri ii
TRUE,26,4,98,79,1.1275,17.7,76,dodge colt
TRUE,27,4,101,83,1.101,15.3,76,renault 12tl
FALSE,17.5,8,305,140,2.1075,13,76,chevrolet chevelle malibu classic
FALSE,16,8,318,150,2.095,13,76,dodge coronet brougham
FALSE,15.5,8,304,120,1.981,13.9,76,amc matador
FALSE,14.5,8,351,152,2.1075,12.8,76,ford gran torino
TRUE,22,6,225,100,1.6165,15.4,76,plymouth valiant
TRUE,22,6,250,105,1.6765,14.5,76,chevrolet nova
TRUE,24,6,200,81,1.506,17.6,76,ford maverick
TRUE,22.5,6,232,90,1.5425,17.6,76,amc hornet
TRUE,29,4,85,52,1.0175,22.2,76,chevrolet chevette
TRUE,24.5,4,98,60,1.082,22.1,76,chevrolet woody
TRUE,29,4,90,70,0.9685,14.2,76,vw rabbit
TRUE,33,4,91,53,0.8975,17.4,76,honda civic
TRUE,20,6,225,100,1.8255,17.7,76,dodge aspen se
FALSE,18,6,250,78,1.787,21,76,ford granada ghia
TRUE,18.5,6,250,110,1.8225,16.2,76,pontiac ventura sj
FALSE,17.5,6,258,95,1.5965,17.8,76,amc pacer d/l
TRUE,29.5,4,97,71,0.9125,12.2,76,volkswagen rabbit
TRUE,32,4,85,70,0.995,17,76,datsun b-210
TRUE,28,4,97,75,1.0775,16.4,76,toyota corolla
TRUE,26.5,4,140,72,1.2825,13.6,76,ford pinto
TRUE,20,4,130,102,1.575,15.7,76,volvo 245
FALSE,13,8,318,150,1.97,13.2,76,plymouth volare premier v8
TRUE,19,4,120,88,1.635,21.9,76,peugeot 504
TRUE,19,6,156,108,1.465,15.5,76,toyota mark ii
FALSE,16.5,6,168,120,1.91,16.7,76,mercedes-benz 280s
FALSE,16.5,8,350,180,2.19,12.1,76,cadillac seville
FALSE,13,8,350,145,2.0275,12,76,chevy c10
FALSE,13,8,302,130,1.935,15,76,ford f108
FALSE,13,8,318,150,1.8775,14,76,dodge d100
TRUE,31.5,4,98,68,1.0225,18.5,77,honda accord cvcc
TRUE,30,4,111,80,1.0775,14.8,77,buick opel isuzu deluxe
TRUE,36,4,79,58,0.9125,18.6,77,renault 5 gtl
TRUE,25.5,4,122,96,1.15,15.5,77,plymouth arrow gs
TRUE,33.5,4,85,70,0.9725,16.8,77,datsun f-10 hatchback
FALSE,17.5,8,305,145,1.94,12.5,77,chevrolet caprice classic
FALSE,17,8,260,110,2.03,19,77,oldsmobile cutlass supreme
FALSE,15.5,8,318,145,2.07,13.7,77,dodge monaco brougham
FALSE,15,8,302,130,2.1475,14.9,77,mercury cougar brougham
FALSE,17.5,6,250,110,1.76,16.4,77,chevrolet concours
TRUE,20.5,6,231,105,1.7125,16.9,77,buick skylark
TRUE,19,6,225,100,1.815,17.7,77,plymouth volare custom
TRUE,18.5,6,250,98,1.7625,19,77,ford granada
FALSE,16,8,400,180,2.11,11.1,77,pontiac grand prix lj
FALSE,15.5,8,350,170,2.0825,11.4,77,chevrolet monte carlo landau
FALSE,15.5,8,400,190,2.1625,12.2,77,chrysler cordoba
FALSE,16,8,351,149,2.1675,14.5,77,ford thunderbird
TRUE,29,4,97,78,0.97,14.5,77,volkswagen rabbit custom
TRUE,24.5,4,151,88,1.37,16,77,pontiac sunbird coupe
TRUE,26,4,97,75,1.1325,18.2,77,toyota corolla liftback
TRUE,25.5,4,140,89,1.3775,15.8,77,ford mustang ii 2+2
TRUE,30.5,4,98,63,1.0255,17,77,chevrolet chevette
TRUE,33.5,4,98,83,1.0375,15.9,77,dodge colt m/m
TRUE,30,4,97,67,0.9925,16.4,77,subaru dl
TRUE,30.5,4,97,78,1.095,14.1,77,volkswagen dasher
TRUE,22,6,146,97,1.4075,14.5,77,datsun 810
TRUE,21.5,4,121,110,1.3,12.8,77,bmw 320i
TRUE,21.5,3,80,110,1.36,13.5,77,mazda rx-4
TRUE,43.1,4,90,48,0.9925,21.5,78,volkswagen rabbit custom diesel
TRUE,36.1,4,98,66,0.9,14.4,78,ford fiesta
TRUE,32.8,4,78,52,0.9925,19.4,78,mazda glc deluxe
TRUE,39.4,4,85,70,1.035,18.6,78,datsun b210 gx
TRUE,36.1,4,91,60,0.9,16.4,78,honda civic cvcc
TRUE,19.9,8,260,110,1.6825,15.5,78,oldsmobile cutlass salon brougham
TRUE,19.4,8,318,140,1.8675,13.2,78,dodge diplomat
TRUE,20.2,8,302,139,1.785,12.8,78,mercury monarch ghia
TRUE,19.2,6,231,105,1.7675,19.2,78,pontiac phoenix lj
TRUE,20.5,6,200,95,1.5775,18.2,78,chevrolet malibu
TRUE,20.2,6,200,85,1.4825,15.8,78,ford fairmont (auto)
TRUE,25.1,4,140,88,1.36,15.4,78,ford fairmont (man)
TRUE,20.5,6,225,100,1.715,17.2,78,plymouth volare
TRUE,19.4,6,232,90,1.605,17.2,78,amc concord
TRUE,20.6,6,231,105,1.69,15.8,78,buick century special
TRUE,20.8,6,200,85,1.535,16.7,78,mercury zephyr
TRUE,18.6,6,225,110,1.81,18.7,78,dodge aspen
TRUE,18.1,6,258,120,1.705,15.1,78,amc concord d/l
TRUE,19.2,8,305,145,1.7125,13.2,78,chevrolet monte carlo landau
FALSE,17.7,6,231,165,1.7225,13.4,78,buick regal sport coupe (turbo)
TRUE,18.1,8,302,139,1.6025,11.2,78,ford futura
FALSE,17.5,8,318,140,2.04,13.7,78,dodge magnum xe
TRUE,30,4,98,68,1.0775,16.5,78,chevrolet chevette
TRUE,27.5,4,134,95,1.28,14.2,78,toyota corona
TRUE,27.2,4,119,97,1.15,14.7,78,datsun 510
TRUE,30.9,4,105,75,1.115,14.5,78,dodge omni
TRUE,21.1,4,134,95,1.2575,14.8,78,toyota celica gt liftback
TRUE,23.2,4,156,105,1.3725,16.7,78,plymouth sapporo
TRUE,23.8,4,151,85,1.4275,17.6,78,oldsmobile starfire sx
TRUE,23.9,4,119,97,1.2025,14.9,78,datsun 200-sx
TRUE,20.3,5,131,103,1.415,15.9,78,audi 5000
FALSE,17,6,163,125,1.57,13.6,78,volvo 264gl
TRUE,21.6,4,121,115,1.3975,15.7,78,saab 99gle
FALSE,16.2,6,163,133,1.705,15.8,78,peugeot 604sl
TRUE,31.5,4,89,71,0.995,14.9,78,volkswagen scirocco
TRUE,29.5,4,98,68,1.0675,16.6,78,honda accord lx
TRUE,21.5,6,231,115,1.6225,15.4,79,pontiac lemans v6
TRUE,19.8,6,200,85,1.495,18.2,79,mercury zephyr 6
TRUE,22.3,4,140,88,1.445,17.3,79,ford fairmont 4
TRUE,20.2,6,232,90,1.6325,18.2,79,amc concord dl 6
TRUE,20.6,6,225,110,1.68,16.6,79,dodge aspen 6
FALSE,17,8,305,130,1.92,15.4,79,chevrolet caprice classic
FALSE,17.6,8,302,129,1.8625,13.4,79,ford ltd landau
FALSE,16.5,8,351,138,1.9775,13.2,79,mercury grand marquis
TRUE,18.2,8,318,135,1.915,15.2,79,dodge st. regis
FALSE,16.9,8,350,155,2.18,14.9,79,buick estate wagon (sw)
FALSE,15.5,8,351,142,2.027,14.3,79,ford country squire (sw)
TRUE,19.2,8,267,125,1.8025,15,79,chevrolet malibu classic (sw)
TRUE,18.5,8,360,150,1.97,13,79,chrysler lebaron town @ country (sw)
TRUE,31.9,4,89,71,0.9625,14,79,vw rabbit custom
TRUE,34.1,4,86,65,0.9875,15.2,79,maxda glc deluxe
TRUE,35.7,4,98,80,0.9575,14.4,79,dodge colt hatchback custom
TRUE,27.4,4,121,80,1.335,15,79,amc spirit dl
TRUE,25.4,5,183,77,1.765,20.1,79,mercedes benz 300d
TRUE,23,8,350,125,1.95,17.4,79,cadillac eldorado
TRUE,27.2,4,141,71,1.595,24.8,79,peugeot 504
TRUE,23.9,8,260,90,1.71,22.2,79,oldsmobile cutlass salon brougham
TRUE,34.2,4,105,70,1.1,13.2,79,plymouth horizon
TRUE,34.5,4,105,70,1.075,14.9,79,plymouth horizon tc3
TRUE,31.8,4,85,65,1.01,19.2,79,datsun 210
TRUE,37.3,4,91,69,1.065,14.7,79,fiat strada custom
TRUE,28.4,4,151,90,1.335,16,79,buick skylark limited
TRUE,28.8,6,173,115,1.2975,11.3,79,chevrolet citation
TRUE,26.8,6,173,115,1.35,12.9,79,oldsmobile omega brougham
TRUE,33.5,4,151,90,1.278,13.2,79,pontiac phoenix
TRUE,41.5,4,98,76,1.072,14.7,80,vw rabbit
TRUE,38.1,4,89,60,0.984,18.8,80,toyota corolla tercel
TRUE,32.1,4,98,70,1.06,15.5,80,chevrolet chevette
TRUE,37.2,4,86,65,1.0095,16.4,80,datsun 310
TRUE,28,4,151,90,1.339,16.5,80,chevrolet citation
TRUE,26.4,4,140,88,1.435,18.1,80,ford fairmont
TRUE,24.3,4,151,90,1.5015,20.1,80,amc concord
TRUE,19.1,6,225,90,1.6905,18.7,80,dodge aspen
TRUE,34.3,4,97,78,1.094,15.8,80,audi 4000
TRUE,29.8,4,134,90,1.3555,15.5,80,toyota corona liftback
TRUE,31.3,4,120,75,1.271,17.5,80,mazda 626
TRUE,37,4,119,92,1.217,15,80,datsun 510 hatchback
TRUE,32.2,4,108,75,1.1325,15.2,80,toyota corolla
TRUE,46.6,4,86,65,1.055,17.9,80,mazda glc
TRUE,27.9,4,156,105,1.4,14.4,80,dodge colt
TRUE,40.8,4,85,65,1.055,19.2,80,datsun 210
TRUE,44.3,4,90,48,1.0425,21.7,80,vw rabbit c (diesel)
TRUE,43.4,4,90,48,1.1675,23.7,80,vw dasher (diesel)
TRUE,36.4,5,121,67,1.475,19.9,80,audi 5000s (diesel)
TRUE,30,4,146,67,1.625,21.8,80,mercedes-benz 240d
TRUE,44.6,4,91,67,0.925,13.8,80,honda civic 1500 gl
TRUE,33.8,4,97,67,1.0725,18,80,subaru dl
TRUE,29.8,4,89,62,0.9225,15.3,80,vokswagen rabbit
TRUE,32.7,6,168,132,1.455,11.4,80,datsun 280-zx
TRUE,23.7,3,70,100,1.21,12.5,80,mazda rx-7 gs
TRUE,35,4,122,88,1.25,15.1,80,triumph tr7 coupe
TRUE,32.4,4,107,72,1.145,17,80,honda accord
TRUE,27.2,4,135,84,1.245,15.7,81,plymouth reliant
TRUE,26.6,4,151,84,1.3175,16.4,81,buick skylark
TRUE,25.8,4,156,92,1.31,14.4,81,dodge aries wagon (sw)
TRUE,23.5,6,173,110,1.3625,12.6,81,chevrolet citation
TRUE,30,4,135,84,1.1925,12.9,81,plymouth reliant
TRUE,39.1,4,79,58,0.8775,16.9,81,toyota starlet
TRUE,39,4,86,64,0.9375,16.4,81,plymouth champ
TRUE,35.1,4,81,60,0.88,16.1,81,honda civic 1300
TRUE,32.3,4,97,67,1.0325,17.8,81,subaru
TRUE,37,4,85,65,0.9875,19.4,81,datsun 210 mpg
TRUE,37.7,4,89,62,1.025,17.3,81,toyota tercel
TRUE,34.1,4,91,68,0.9925,16,81,mazda glc 4
TRUE,34.7,4,105,63,1.1075,14.9,81,plymouth horizon 4
TRUE,34.4,4,98,65,1.0225,16.2,81,ford escort 4w
TRUE,29.9,4,98,65,1.19,20.7,81,ford escort 2h
TRUE,33,4,105,74,1.095,14.2,81,volkswagen jetta
TRUE,33.7,4,107,75,1.105,14.4,81,honda prelude
TRUE,32.4,4,108,75,1.175,16.8,81,toyota corolla
TRUE,32.9,4,119,100,1.3075,14.8,81,datsun 200sx
TRUE,31.6,4,120,74,1.3175,18.3,81,mazda 626
TRUE,28.1,4,141,80,1.615,20.4,81,peugeot 505s turbo diesel
TRUE,30.7,6,145,76,1.58,19.6,81,volvo diesel
TRUE,25.4,6,168,116,1.45,12.6,81,toyota cressida
TRUE,24.2,6,146,120,1.465,13.8,81,datsun 810 maxima
TRUE,22.4,6,231,110,1.7075,15.8,81,buick century
TRUE,26.6,8,350,105,1.8625,19,81,oldsmobile cutlass ls
TRUE,20.2,6,200,88,1.53,17.1,81,ford granada gl
FALSE,17.6,6,225,85,1.7325,16.6,81,chrysler lebaron salon
TRUE,28,4,112,88,1.3025,19.6,82,chevrolet cavalier
TRUE,27,4,112,88,1.32,18.6,82,chevrolet cavalier wagon
TRUE,34,4,112,88,1.1975,18,82,chevrolet cavalier 2-door
TRUE,31,4,112,85,1.2875,16.2,82,pontiac j2000 se hatchback
TRUE,29,4,135,84,1.2625,16,82,dodge aries se
TRUE,27,4,151,90,1.3675,18,82,pontiac phoenix
TRUE,24,4,140,92,1.4325,16.4,82,ford fairmont futura
TRUE,36,4,105,74,0.99,15.3,82,volkswagen rabbit l
TRUE,37,4,91,68,1.0125,18.2,82,mazda glc custom l
TRUE,31,4,91,68,0.985,17.6,82,mazda glc custom
TRUE,38,4,105,63,1.0625,14.7,82,plymouth horizon miser
TRUE,36,4,98,70,1.0625,17.3,82,mercury lynx l
TRUE,36,4,120,88,1.08,14.5,82,nissan stanza xe
TRUE,36,4,107,75,1.1025,14.5,82,honda accord
TRUE,34,4,108,70,1.1225,16.9,82,toyota corolla
TRUE,38,4,91,67,0.9825,15,82,honda civic
TRUE,32,4,91,67,0.9825,15.7,82,honda civic (auto)
TRUE,38,4,91,67,0.9975,16.2,82,datsun 310 gx
TRUE,25,6,181,110,1.4725,16.4,82,buick century limited
TRUE,38,6,262,85,1.5075,17,82,oldsmobile cutlass ciera (diesel)
TRUE,26,4,156,92,1.2925,14.5,82,chrysler lebaron medallion
TRUE,22,6,232,112,1.4175,14.7,82,ford granada l
TRUE,32,4,144,96,1.3325,13.9,82,toyota celica gt
TRUE,36,4,135,84,1.185,13,82,dodge charger 2.2
TRUE,27,4,151,90,1.475,17.3,82,chevrolet camaro
TRUE,27,4,140,86,1.395,15.6,82,ford mustang gl
TRUE,44,4,97,52,1.065,24.6,82,vw pickup
TRUE,32,4,135,84,1.1475,11.6,82,dodge rampage
TRUE,28,4,120,79,1.3125,18.6,82,ford ranger
TRUE,31,4,119,82,1.36,19.4,82,chevy s-10
