Identification.ID,Is_Hybrid,Engine Information.Engine Type,Year,Driveline,Transmission,Horsepower,Torque,Displacement,Cylinder_Count,Gears_Forward,Height,Length,Width,MPG_CITY,MPG_HWY,Fuel_Type,Make,Model_Year
2011 Acura TL,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2011,1,2,280,254,3.5,6 ,5,172,101,88,18,26,Gasoline,Acura,2011 Acura TL
2011 Acura TL SH-3,TRUE,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,2011,3,2,305,273,3.7,6 ,5,172,101,88,17,25,Gasoline,Acura,2011 Acura TL
2011 Acura TL SH-3 MT,TRUE,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,2011,3,1,305,273,3.7,6 ,6,172,101,88,17,25,Gasoline,Acura,2011 Acura TL
2010 Acura TSX AT,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2010,1,2,201,170,2.4,4 ,5,160,107,48,21,30,Gasoline,Acura,2010 Acura TSX
2010 Acura TSX MT,TRUE,Acura 2.4L 4 Cylinder 201 hp 172 ft-lbs,2010,1,1,201,172,2.4,4 ,6,160,107,48,20,28,Gasoline,Acura,2010 Acura TSX
2010 Acura TSX V6,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2010,1,2,280,254,3.5,6 ,5,160,107,48,18,27,Gasoline,Acura,2010 Acura TSX
2011 Acura TSX AT,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2011,1,2,201,170,2.4,4 ,5,160,107,48,22,31,Gasoline,Acura,2011 Acura TSX
2011 Acura TSX MT,TRUE,Acura 2.4L 4 Cylinder 201 hp 172 ft-lbs,2011,1,1,201,172,2.4,4 ,6,160,107,48,21,29,Gasoline,Acura,2011 Acura TSX
2011 Acura TSX V6,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2011,1,2,280,254,3.5,6 ,5,160,107,48,19,28,Gasoline,Acura,2011 Acura TSX
2011 Acura TSX Sport Wagon,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2011,1,2,201,170,2.4,4 ,5,190,197,48,22,30,Gasoline,Acura,2011 Acura TSX Sport Wagon
2012 Acura RL,TRUE,Acura 3.7L 6 Cylinder 300 hp 271 ft-lbs,2012,3,2,300,271,3.7,6 ,6,175,109,55,17,24,Gasoline,Acura,2012 Acura RL
2012 Acura TSX,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2012,1,2,201,170,2.4,4 ,5,160,107,48,22,31,Gasoline,Acura,2012 Acura TSX
2012 Acura TSX Special Edition,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2012,1,2,201,170,2.4,4 ,5,160,107,48,22,31,Gasoline,Acura,2012 Acura TSX
2012 Acura TSX Special Edition MT,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2012,1,1,201,170,2.4,4 ,6,160,107,48,21,29,Gasoline,Acura,2012 Acura TSX
2012 Acura TSX V-6,TRUE,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,2012,1,2,280,254,3.5,6 ,5,160,107,48,19,28,Gasoline,Acura,2012 Acura TSX
2012 Acura TSX Sport Wagon,TRUE,Acura 2.4L 4 Cylinder 201 hp 170 ft-lbs,2012,1,2,201,170,2.4,4 ,5,190,197,48,22,30,Gasoline,Acura,2012 Acura TSX Sport Wagon
2012 Acura ZDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2012,3,2,300,270,3.7,6 ,6,60,23,203,16,23,Gasoline,Acura,2012 Acura ZDX
2012 Acura MDX,TRUE,Acura 3.7L 6 Cylinder 300 hp 270 ft-lbs,2012,4,2,300,270,3.7,6 ,6,197,3,202,16,21,Gasoline,Acura,2012 Acura MDX
2010 Mercedes-Benz C63 AMG Sport,TRUE,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,2010,2,2,451,443,6.3,8 ,7,157,118,3,12,19,Gasoline,AMG,2010 Mercedes-Benz C-Class
2011 Mercedes-Benz C63 AMG Sport,TRUE,Mercedes-AMG 6.3L 8 Cylinder 451 hp 443 ft-lbs,2011,2,2,451,443,6.3,8 ,7,157,118,3,13,19,Gasoline,AMG,2011 Mercedes-Benz C-Class
2010 Mercedes-Benz CL63 AMG,TRUE,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,2010,2,2,518,465,6.2,8 ,7,137,200,79,11,18,Gasoline,AMG,2010 Mercedes-Benz CL-Class
2010 Mercedes-Benz CL65 AMG,TRUE,Mercedes-AMG 6.0L 12 Cylinder 621hp 738ft-lbs Turbo,2010,2,2,621,738,6.0,12 ,5,137,200,79,11,17,Gasoline,AMG,2010 Mercedes-Benz CL-Class
2011 Mercedes-Benz CL63 AMG,TRUE,Mercedes-AMG 5.5L 8 Cylinder 536hp 590ft-lbs Turbo,2011,2,2,536,590,5.5,8 ,7,137,200,79,15,21,Gasoline,AMG,2011 Mercedes-Benz CL-Class
2011 Mercedes-Benz CL65 AMG,TRUE,Mercedes-AMG 6.0L 12 Cylinder 621hp 738ft-lbs Turbo,2011,2,2,621,738,6.0,12 ,5,137,200,79,12,18,Gasoline,AMG,2011 Mercedes-Benz CL-Class
2010 Mercedes-Benz CLS63 AMG,TRUE,Mercedes-AMG 6.2L 8 Cylinder 507 hp 465 ft-lbs,2010,2,2,507,465,6.2,8 ,7,109,53,79,12,18,Gasoline,AMG,2010 Mercedes-Benz CLS-Class
2010 Mercedes-Benz E63 AMG,TRUE,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,2010,2,2,518,465,6.2,8 ,7,162,22,183,13,20,Gasoline,AMG,2010 Mercedes-Benz E-Class Sedan
2011 Mercedes-Benz E63 AMG,TRUE,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,2011,2,2,518,465,6.2,8 ,7,162,22,79,13,20,Gasoline,AMG,2011 Mercedes-Benz E-Class Sedan
2011 Mercedes-Benz SL63 AMG,TRUE,Mercedes-AMG 6.2L 8 Cylinder 518hp 465ft-lbs,2011,2,2,518,465,6.2,8 ,7,17,240,22,12,19,Gasoline,AMG,2011 Mercedes-Benz SL-Class
2011 Aston Martin DB9 Volante,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2011 Aston Martin DB9 Volante
2011 Aston Martin DB9 Volante AT,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2011 Aston Martin DB9 Volante
2010 Aston Martin DB9 Volante,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2010,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2010 Aston Martin DB9 Volante
2010 Aston Martin DB9 Volante AT,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2010,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2010 Aston Martin DB9 Volante
2011 Aston Martin DB9 Coup,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2011 Aston Martin DB9 Coup
2011 Aston Martin DB9 Coup AT,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2011 Aston Martin DB9 Coup
2010 Aston Martin DB9 Coup,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2010,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2010 Aston Martin DB9 Coup
2010 Aston Martin DB9 Coup AT,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2010,2,2,470,443,5.9,12 ,6,20,103,87,13,20,Gasoline,Aston Martin,2010 Aston Martin DB9 Coup
2011 Aston Martin DBS Volante,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2011,2,1,510,420,5.9,12 ,6,9,112,113,11,17,Gasoline,Aston Martin,2011 Aston Martin DBS Volante
2011 Aston Martin DBS Volante AT,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2011,2,2,510,420,5.9,12 ,6,9,112,113,12,18,Gasoline,Aston Martin,2011 Aston Martin DBS Volante
2011 Aston Martin Rapide,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,2,470,443,5.9,12 ,6,80,155,137,13,19,Gasoline,Aston Martin,2011 Aston Martin Rapide
2011 Aston Martin Rapide Luxe,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,2,470,443,5.9,12 ,6,80,155,137,13,19,Gasoline,Aston Martin,2011 Aston Martin Rapide
2010 Aston Martin Rapide,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2010,2,2,470,443,5.9,12 ,6,78,155,92,13,19,Gasoline,Aston Martin,2010 Aston Martin Rapide
2011 Aston Martin V12 Vantage,TRUE,Aston Martin 6.0L 510 hp 420 ft-lbs,2011,2,1,510,420,6.0,12,6,217,33,73,11,17,Gasoline,Aston Martin,2011 Aston Martin V12 Vantage
2011 Aston Martin V12 Vantage Carbon Black,TRUE,Aston Martin 6.0L 510 hp 420 ft-lbs,2011,2,1,510,420,6.0,12,6,217,33,73,11,17,Gasoline,Aston Martin,2011 Aston Martin V12 Vantage
2011 Aston Martin V8 Vantage Roadster,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2011,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2011 Aston Martin V8 Vantage Roadster
2011 Aston Martin V8 Vantage N420 Roadster,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2011,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2011 Aston Martin V8 Vantage Roadster
2010 Aston Martin V8 Vantage Roadster,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2010,2,1,420,346,4.7,8,6,246,29,74,12,19,Gasoline,Aston Martin,2010 Aston Martin V8 Vantage Roadster
2011 Aston Martin V8 Vantage Coup,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2011,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2011 Aston Martin V8 Vantage Coup
2011 Aston Martin V8 Vantage N420 Coup,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2011,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2011 Aston Martin V8 Vantage Coup
2010 Aston Martin V8 Vantage Coup,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2010,2,1,420,346,4.7,8,6,233,29,74,12,19,Gasoline,Aston Martin,2010 Aston Martin V8 Vantage Coup
2011 Aston Martin Virage Volante,TRUE,Aston Martin 5.9L 12 Cylinder 490 hp 420 ft-lbs,2011,2,2,490,420,5.9,12 ,6,7,96,113,13,18,Gasoline,Aston Martin,2011 Aston Martin Virage Volante
2012 Aston Martin Virage Volante,TRUE,Aston Martin 5.9L 12 Cylinder 490 hp 420 ft-lbs,2012,2,2,490,420,5.9,12 ,6,7,96,113,13,18,Gasoline,Aston Martin,2012 Aston Martin Virage Volante
2011 Aston Martin Virage Coup,TRUE,Aston Martin 5.9L 12 Cylinder 490 hp 420 ft-lbs,2011,2,2,490,420,5.9,12 ,6,2,96,113,13,18,Gasoline,Aston Martin,2011 Aston Martin Virage Coup
2012 Aston Martin Virage Coup,TRUE,Aston Martin 5.9L 12 Cylinder 490 hp 420 ft-lbs,2012,2,2,490,420,5.9,12 ,6,2,96,113,13,18,Gasoline,Aston Martin,2012 Aston Martin Virage Coup
2011 Aston Martin DB9 Volante Special Edition,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2011,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2011 Aston Martin DB9 Volante
2012 Aston Martin DB9 Luxury SE,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2012 Aston Martin DB9 Coup
2012 Aston Martin DB9 Sport SE,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2012 Aston Martin DB9 Coup
2012 Aston Martin DB9 Coup,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,2,470,443,5.9,12 ,6,246,102,83,13,20,Gasoline,Aston Martin,2012 Aston Martin DB9 Coup
2012 Aston Martin DB9 Volante,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2012 Aston Martin DB9 Volante
2012 Aston Martin DB9 Volante Luxury SE,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,1,470,443,5.9,12 ,6,246,102,83,11,17,Gasoline,Aston Martin,2012 Aston Martin DB9 Volante
2012 Aston Martin DBS Volante Carbon Edition AT,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2012,2,2,510,420,5.9,12 ,6,9,112,113,12,18,Gasoline,Aston Martin,2012 Aston Martin DBS Volante
2012 Aston Martin DBS Volante,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2012,2,1,510,420,5.9,12 ,6,9,112,113,11,17,Gasoline,Aston Martin,2012 Aston Martin DBS Volante
2012 Aston Martin DBS Volante Carbon Edition,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2012,2,1,510,420,5.9,12 ,6,9,112,113,11,17,Gasoline,Aston Martin,2012 Aston Martin DBS Volante
2012 Aston Martin DBS Volante AT,TRUE,Aston Martin 5.9L 12 Cylinder 510 hp 420 ft-lbs,2012,2,2,510,420,5.9,12 ,6,9,112,113,12,18,Gasoline,Aston Martin,2012 Aston Martin DBS Volante
2012 Aston Martin Rapide,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,2,470,443,5.9,12 ,6,80,155,137,13,19,Gasoline,Aston Martin,2012 Aston Martin Rapide
2012 Aston Martin Rapide Luxe,TRUE,Aston Martin 5.9L 12 Cylinder 470 hp 443 ft-lbs,2012,2,2,470,443,5.9,12 ,6,80,155,137,13,19,Gasoline,Aston Martin,2012 Aston Martin Rapide
2012 Aston Martin V12 Vantage,TRUE,Aston Martin 6.0L 510 hp 420 ft-lbs,2012,2,1,510,420,6.0,12,6,217,33,73,13,19,Gasoline,Aston Martin,2012 Aston Martin V12 Vantage
2012 Aston Martin V12 Vantage Carbon Black,TRUE,Aston Martin 6.0L 510 hp 420 ft-lbs,2012,2,1,510,420,6.0,12,6,217,33,73,13,19,Gasoline,Aston Martin,2012 Aston Martin V12 Vantage
2012 Aston Martin V8 Vantage Roadster,TRUE,Aston Martin 4.7L 8 Cylinder 430 hp 361 ft-lbs,2012,2,1,430,361,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2012 Aston Martin V8 Vantage Roadster
2012 Aston Martin V8 Vantage N420 Roadster,TRUE,Aston Martin 4.7L 8 Cylinder 430 hp 361 ft-lbs,2012,2,1,430,361,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2012 Aston Martin V8 Vantage Roadster
2012 Aston Martin V8 Vantage N420 Coup,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2012,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2012 Aston Martin V8 Vantage Coup
2012 Aston Martin V8 Vantage Coup,TRUE,Aston Martin 4.7L 8 cylinder 420 hp 346 ft-lbs,2012,2,1,420,346,4.7,8,6,236,30,74,13,19,Gasoline,Aston Martin,2012 Aston Martin V8 Vantage Coup
2009 Audi A3 3.2,TRUE,Audi 3.2L 6 cylinder 250hp 236ft-lbs,2009,3,2,250,236,3.2,6 ,6,140,143,202,18,25,Gasoline,Audi,2009 Audi A3
2009 Audi A3 2.0 T AT,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2009,1,2,200,207,2.0,4 ,6,140,143,202,22,28,Gasoline,Audi,2009 Audi A3
2009 Audi A3 2.0 T,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2009,1,1,200,207,2.0,4 ,6,140,143,202,21,30,Gasoline,Audi,2009 Audi A3
2009 Audi A3 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2009,3,2,200,207,2.0,4 ,6,140,143,202,21,28,Gasoline,Audi,2009 Audi A3
2009 Audi A3 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2009,3,2,200,207,2.0,4 ,6,140,143,202,21,28,Gasoline,Audi,2009 Audi A3
2009 Audi A5 3.2,TRUE,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,2009,3,1,265,243,3.2,6 ,6,91,17,62,16,27,Gasoline,Audi,2009 Audi A5
2009 Audi A5 3.2 AT,TRUE,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,2009,3,2,265,243,3.2,6 ,6,91,17,62,17,26,Gasoline,Audi,2009 Audi A5
2009 Audi Q7 4.2,TRUE,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,2009,3,2,350,325,4.2,8 ,6,201,221,191,13,18,Gasoline,Audi,2009 Audi Q7
2009 Audi Q7 3.6,TRUE,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,2009,3,2,280,266,3.6,6 ,6,201,221,191,14,20,Gasoline,Audi,2009 Audi Q7
2009 Audi A4 Sedan 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2009,3,1,211,258,2.0,4 ,6,147,96,34,22,30,Gasoline,Audi,2009 Audi A4 Sedan
2009 Audi A4 Sedan 2.0 T Quattro AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2009,3,2,211,258,2.0,4 ,6,147,96,34,21,27,Gasoline,Audi,2009 Audi A4 Sedan
2009 Audi A4 Sedan 3.2,TRUE,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,2009,3,2,265,243,3.2,6 ,6,147,96,34,17,26,Gasoline,Audi,2009 Audi A4 Sedan
2012 Audi A3 2.0 T,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2012,1,1,200,207,2.0,4 ,6,143,196,203,21,30,Gasoline,Audi,2012 Audi A3
2011 Audi A3 2.0 T,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2011,1,1,200,207,2.0,4 ,6,143,196,203,21,30,Gasoline,Audi,2011 Audi A3
2010 Audi A3 2.0 T,TRUE,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,2010,1,1,200,207,2.0,4 ,6,143,196,203,21,30,Gasoline,Audi,2010 Audi A3
2012 Audi A4 Sedan 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2012,3,1,211,258,2.0,4 ,6,147,95,248,21,31,Gasoline,Audi,2012 Audi A4 Sedan
2012 Audi A4 Sedan 2.0 T Quattro AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2012,3,2,211,258,2.0,4 ,8,147,95,248,21,29,Gasoline,Audi,2012 Audi A4 Sedan
2011 Audi A4 Sedan 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,1,211,258,2.0,4 ,6,147,95,214,21,31,Gasoline,Audi,2011 Audi A4 Sedan
2011 Audi A4 Sedan 2.0 T Quattro AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,2,211,258,2.0,4 ,8,147,95,214,21,29,Gasoline,Audi,2011 Audi A4 Sedan
2010 Audi A4 Sedan 2.0 T Quattro AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,2,211,258,2.0,4 ,6,147,95,34,21,27,Gasoline,Audi,2010 Audi A4 Sedan
2010 Audi A4 Sedan 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,1,211,258,2.0,4 ,6,147,95,34,22,30,Gasoline,Audi,2010 Audi A4 Sedan
2012 Audi A4 Avant 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2012,3,2,211,258,2.0,4 ,8,156,95,248,21,29,Gasoline,Audi,2012 Audi A4 Avant
2011 Audi A4 Avant 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,2,211,258,2.0,4 ,8,156,95,214,21,29,Gasoline,Audi,2011 Audi A4 Avant
2010 Audi A4 Avant 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,2,211,258,2.0,4 ,6,155,95,34,23,30,Gasoline,Audi,2010 Audi A4 Avant
2011 Audi A5 Cabriolet 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,2,211,258,2.0,4 ,8,101,14,227,21,29,Gasoline,Audi,2011 Audi A5 Cabriolet
2010 Audi A5 Cabriolet 2.0 T Quattro,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,2,211,258,2.0,4 ,6,103,17,228,20,26,Gasoline,Audi,2010 Audi A5 Cabriolet
2012 Audi A5 Coupe 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2012,3,1,211,258,2.0,4 ,6,92,17,189,21,31,Gasoline,Audi,2012 Audi A5 Coupe
2012 Audi A5 Coupe 2.0 T AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2012,3,2,211,258,2.0,4 ,8,92,17,189,21,29,Gasoline,Audi,2012 Audi A5 Coupe
2011 Audi A5 Coupe 2.0 T AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,2,211,258,2.0,4 ,8,92,17,189,21,29,Gasoline,Audi,2011 Audi A5 Coupe
2011 Audi A5 Coupe 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2011,3,1,211,258,2.0,4 ,6,92,17,189,21,31,Gasoline,Audi,2011 Audi A5 Coupe
2010 Audi A5 Coupe 2.0 T,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,1,211,258,2.0,4 ,6,92,17,62,22,30,Gasoline,Audi,2010 Audi A5 Coupe
2010 Audi A5 Coupe 3.2,TRUE,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,2010,3,2,265,243,3.2,6 ,6,92,17,62,18,27,Gasoline,Audi,2010 Audi A5 Coupe
2010 Audi A5 Coupe 2.0 T AT,TRUE,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,2010,3,2,211,258,2.0,4 ,6,92,17,62,21,27,Gasoline,Audi,2010 Audi A5 Coupe
2012 Audi A6 Sedan 3.0 T,TRUE,Audi 3.0L 6 Cylinder 310 hp 325 ft-lbs,2012,3,2,310,325,3.0,6 ,8,188,61,82,19,28,Gasoline,Audi,2012 Audi A6 Sedan
2011 Audi A6 Sedan 3.0 T,TRUE,Audi 3.0L 6 Cylinder 300 hp 310 ft-lbs,2011,3,2,300,310,3.0,6 ,6,179,63,237,18,26,Gasoline,Audi,2011 Audi A6 Sedan
2011 Audi A6 Sedan 4.2,TRUE,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,2011,3,2,350,325,4.2,8 ,6,179,52,237,16,24,Gasoline,Audi,2011 Audi A6 Sedan
2010 Audi A6 Sedan 3.0 T,TRUE,Audi 3.0L 6 Cylinder 300 hp 310 ft-lbs,2010,3,2,300,310,3.0,6 ,6,179,52,220,18,26,Gasoline,Audi,2010 Audi A6 Sedan
